output,input,instruction
"Until a few hundred years ago dengue virus was transmitted in sylvatic cycles in Africa and Asia between mosquitoes of the genus Aedes and non-human primates with rare emergences into human populations.   The global spread of dengue virus, however, has followed its emergence from sylvatic cycles and the primary life cycle now exclusively involves transmission between humans and Aedes mosquitoes.  Vertical transmission from mosquito to mosquito has also been observed in some vector species.",What is the cause of fever in Dengue?,Answer this question truthfully
Laboratory findings consistent with the diagnosis of glycogen storage disease type 3 include:   Hypoglycemia Ketosis Increased creatine kinase (CK) Hyperlipidemia Hypercholesterolemia Hypertriglyceridemia Elevated liver transaminases Elevated aspartate aminotransferase (AST) >500 - 1000 IU Elevated alanine aminotransferase (ALT) >500 - 1000 IU,What laboratory findings are linked with Glycogen Storage Disease Type III?,Answer this question truthfully
"The umbilical artery is a branch of the anterior division of the internal iliac artery and represents the patent (open) part of the embryonic umbilical artery. (The non-patent obliterated part of the artery is the medial umbilical ligament.) The umbilical artery is found in the pelvis, and gives rise to the superior vesical arteries. In males, it also gives rise to the artery to the ductus deferens.",What is the function or significance of the umbilical artery?,Answer this question truthfully
"Constipation is usually easier to prevent than to treat. The relief of constipation with osmotic agents, i.e., lactulose, polyethylene glycol (PEG), or magnesium salts, should also be immediately followed by prevention using increased fiber (fruits, vegetables, and grains) and a nightly decreasing dose of osmotic laxative. Effective measures for the primary prevention of constipation include fiber supplementation, appropriate fluid intake, toilet habits, and exercise.",What are the main methods for preventing constipation?,Answer this question truthfully
"Natural history, complications and prognosis of type 1 hyperlipoproteinemia include:   
If left untreated, pancreatitis can develop into a chronic condition that can damage the pancreas and, in rare cases it could be life-threatening.
Pancreatitis and recurrent episodes of abdominal pain may develop. Intestinal ischemia Depression, Memory loss Intellectual decline
People with this condition who follow a very low-fat diet have a good prognosis.","Could you provide a definition for familial hyperchylomicronemia, please?",Answer this question truthfully
"Brain MRI is helpful in the diagnosis of oligodendroglioma. On brain MRI, oligodendroglioma is characterized by a mass which is typically hypointense on T1 - weighted images and hyperintense on T2- weighted images. Calcification is observed as areas of ""blooming"" on T2 decay component of MRI. T1 C + gadolinium shows heterogeneous contrast enhancement and diffusion weighted images help differentiate lower grade oligodendrogliomas from higher grade astrocytomas which have higher ADC values because of lower cellularity and greater hyaluronan proportion. MR perfusion (PWI) is 95% sensitive for diagnosis of oligodendrogliomas and 87% sensitive for distinguishing grade II from grade III oligodendrogliomas. On PWI, ""chicken wire"" network of vascularity results in elevated relative cerebral blood volume (rCBV) of grade II vs grade III and rCBV above the threshold of 1.75 demonstrates more rapid tumor progression.",What information does an MRI provide about Oligodendroglioma?,Answer this question truthfully
The most potent risk factor in the development of sickle-cell disease is race.,Could you provide me with the given expression in order for me to rephrase it?,Answer this question truthfully
There are no ultrasound findings associated with ganglioglioma.,Is it possible to detect ganglioglioma using an ultrasound?,Answer this question truthfully
"The diagnosis is initially suggested by CT, MRI, or angiogram. In fact, the name derives from its angiographic image; the ""puff of smoke,"" which is how moyamoya loosely translates from Japanese, refers to the appearance of multiple compensatorily dilated striate vessels seen on angiography. Contrast-enhanced T1-weighted images are better than FLAIR images for depicting the leptomeningeal ivy sign in moyamoya disease.",What is Moyamoya disease in a CT scan?,Answer this question truthfully
"To prevent and control infection with the Giardia parasite, it is important to:
Practice good handwashing and hygiene Avoid water (drinking or recreational) that may be contaminated Avoid eating food that may be contaminated Safe sexual practices, especially regarding anal sex, may decrease the risk of contracting or spreading giardiasis",What information is available on giardiasis?,Answer this question truthfully
"The prevalence of adenoiditis is not completely known. Research indicates that 15-30% of sore throats in children and 5-10% sore throats in adults are due to bacterial adenotonsillitis. The prevalence of adenoiditis decreases with age. Adenoid tissue undergoes atrophy after 10 years of age, so adenoiditis is rarely seen after 15 years.",Can you provide a summary or general overview of adenoiditis?,Answer this question truthfully
"Cystic fibrosis (CF) is an autosomal recessive disease that caused by mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene.    CFTR gene functions as a chloride channel (pumps chloride from the intracellular space to the extracellular space) found on the surface of the epithelial cells, that line multiple organs especially lungs and GI tract. The genetic mutations result in defective transport of chloride, and secondarily sodium, by epithelial cells, and eventually abnormal viscous mucoid secretions mostly in lungs and GI tract. Other organs containing epithelia such as the sweat glands, biliary duct, the male reproductive tract, and the intestine are also affected. Two mechanisms which cause airway-surface-liquid depletion are as follow:
In patients with cystic fibrosis abnormal chloride conductance of epithelial cells results in airway surface liquid depletion and decreased mucociliary transport (airway surface liquid is essential to support ciliary function). The consequence of cystic fibrosis is a vicious circle of inflammation, tissue damage and infection.  Also, exaggerated, generalized, and prolonged inflammatory response of lungs to bacterial and viral pathogen is observed. The inflammatory response is characterized by neutrophilic dominated airway inflammation which is present even in clinically stable patients and in young infants diagnosed by neonatal screening.   Breakdown of accumulated neutrophils in the infected lungs of patients with cystic fibrosis leads to the release of large amounts of DNA. Accumulated DNA causes high viscosity of the infected sputum, followed by decreased ciliary transport and function. 
In cystic fibrosis, approximately 90% of patients present with exocrine pancreatic insufficiency. Pancreatic disease results from a reduced volume of pancreatic secretion with low concentrations of bicarbonate, followed by retained and prematurely activated digestive proenzymes in pancreatic ducts, resulting in tissue destruction and fibrosis.  Abnormally viscous secretions in the ducts of the pancreas, followed by loss of pancreatic exocrine function results in malnutrition and poor growth. 
One third of patients with cystic fibrosis have abnormal results on liver function tests. Fatty infiltration is reported in up to 70% of older patients and in nearly 10% of these progresses to biliary cirrhosis. Histological evaluation shows duct dilatation and intraluminal concretions. Bile-duct epithelium becomes hyperplastic with periductal inflammation and fibrosis. Up to one third of patients with cystic fibrosis, a small and poorly functioning gallbladder is detected.",What is the explanation or understanding of the mechanism of cystic fibrosis in the body?,Answer this question truthfully
"The outcome is usually quite good if the hernia is treated properly. The rate of hernia recurrence after surgical repair is generally less than 3%.
A femoral hernia may become stuck (incarcerated) and strangulated (the loop of bowel loses its blood supply). Nausea, vomiting, and severe abdominal pain may occur with a strangulated hernia. This is a medical emergency. A strangulated intestine can result in tissue death (gangrene), a life-threatening condition requiring immediate surgery.",What type of information is accessible regarding femoral hernia?,Answer this question truthfully
"Anal cancer most commonly arises from squamous cells at the squamocolumnar junction. Other types of anal cancer are adenocarcinoma, lymphoma, and sarcoma.",What is the definition of anal cancer?,Answer this question truthfully
"Small bowel biopsy such as jejunal or duodenal biopsy is the gold standard test for the diagnosis of lactose intolerance. Low lactase activity in small bowel biopsy is confirmatory of lactose intolerance.The diagnostic study of choice for lactose intolerance is lactose breath hydrogen test. Lactose intolerance is diagnosed based on a rise in hydrogen concentration of 20 ppm (parts per million) and presentation of symptoms such as bloating, diarrhea and abdominal pain.
A positive history of abdominal pain and bloating after ingestion of milk-containing products is suggestive of lactose intolerance. Common symptoms of lactose intolerance include abdominal pain, bloating and flatulence. Less common symptoms of lactose intolerance include nausea, vomiting, and watery diarrhea.
Physical examination findings are usually normal. Borborygmi may be audible.
Laboratory tests include hydrogen breath test, stool acidity test, and intestinal biopsy. Since lactose intolerance is the normal state for most adults on a worldwide scale, and not considered a disease condition, diagnosis is not necessarily required.
There are no ECG findings associated with lactose intolerance.
There are no x-ray findings associated with lactose intolerance.
There are no CT scan findings associated with lactose intolerance.
There are no MRI findings associated with lactose intolerance.
There are no echocardiography/ ultrasound findings associated with lactose intolerance.
There are no other imaging findings associated with lactose intolerance.
Lactose intolerance test may be helpful in the diagnosis of lactose intolerance. Findings suggestive of lactose intolerance include bloating, diarrhea and abdominal pain and rising of blood glucose by less than 20 mg/dL after ingestion of lactose. Genetic test can also be used for diagnosis of primary lactase deficiency that is associated with CC genotype at -13.9 kb upstream of the lactase gene.",Could you provide me an overview of lactose intolerance?,Answer this question truthfully
"Symptoms of a rupture may be initially quite subtle. An old cesarean scar may undergo dehiscence, but with further labor, the paturient may experience abdominal pain and vaginal bleeding.",What is the history and what are the symptoms of uterine rupture?,Answer this question truthfully
"Laboratory investigations for pericardial effusion include the leukocyte count, C-reactive protein, and ESR for ruling out inflammatory causes. The cardiac troponin is elevated if there is an injury to the underlying myocardium, a condition termed as myopericarditis. Diagnostic pericardiocentesis and biopsy help in identifying an underlying infectious or malignant process.",What laboratory tests are conducted for pericardial effusion?,Answer this question truthfully
Brain MRI may be diagnostic of glioma. The MRI findings of glioma vary with the tumor grade and type.,Can you provide an overview of glioma?,Answer this question truthfully
"The incidence of Goodpasture syndrome is approximately 0.18 cases per 100,000 individuals worldwide.  The annual incidence of Goodpasture syndrome in Europe is estimated to range from 0.5 to 1 per 1 million individuals.  The incidence of Goodpasture syndrome is around 1- 2 per million individuals per year.
The prevalence of Goodpasture syndrome is estimated to be 1 per million individuals annually. 
Goodpasture syndrome occurs in two age peaks.  The early onset Goodpasture syndrome is seen with individuals in the age group of 20 and 30. The late onset Goodpasture syndrome is seen with individuals in the age group of 60 to 70.
Goodpasture syndrome affects men and women equally.  Males are at increased risk of developing Goodpasture syndrome in the second and third decade. Females are at an increased risk of developing the syndrome in the sixth to seventh decade.
Goodpasture syndrome usually affects individuals of the white race. Black individuals are less likely to develop Goodpasture syndrome. In European populations between 0.5-1 case per million individuals are seen every year. It is rarer in non-European populations.
The majority of Goodpasture syndrome cases are reported in ethnic groups of New Zealand.",Could you provide me the context of the given sentence to suggest a rephrased version?,Answer this question truthfully
"Some images shown below are courtesy of Professor Peter Anderson DVM PhD and published with permission © PEIR, University of Alabama at Birmingham, Department of Pathology
Acral lentiginous melanoma Doctor definition: Acral lentiginous melanoma is a kind of skin melanoma, and it is also known as subungual melanoma. Patient definition: Acral lentiginous melanoma is a kind of skin cancer, and it is also know as a skin cancer that manifests under the nail.
Acrocyanosis Doctor definition: Acrocyanosis is a persistent blue or cyanotic discoloration of the digits. Patient definition: Acrocyanosis is a blue discoloration (cyanosis) of the fingers and the fingernails.
Atherosclerosis Doctor definition: Atherosclerosis is a disease affecting arterial blood vessels and it can cause changes to the nail beds. Patient definition: Atherosclerosis is a disease affecting arterial blood vessels and it can cause changes to the nail beds.
Beau's lines Doctor definition: Beau's lines are deep grooved lines that run from side to side on the fingernail. Patient definition: Beau's lines are deep grooved lines that run from side to side on the fingernail.
Bowen's disease Doctor definition: Bowen's disease is a sunlight induced skin disease considered either as an early stage or intraepidermal form of squamous cell carcinoma. Patient definition: Bowen's disease is a sunlight induced skin disease considered an early stage for of skin cancer.
Brittle nails Doctor definition: Brittle nails is a condition where the nails are fragile and break frequently. Patient definition: Brittle nails is a condition where the nails are fragile and break frequently.
Digital clubbing Doctor definition: Digital clubbing is a deformity of the fingers and fingernails that is associated with a number of diseases, mostly of the heart and lungs. Patient definition: Digital clubbing is a deformity of the fingers and fingernails that is associated with a number of diseases, mostly of the heart and lungs.
Half and half nails Doctor definition: Half and half nails refer to a change in the appearance of the nails due to internal diseases and nutritional deficits. Patient definition Half and half nails refer to a change in the appearance of the nails due to internal diseases and nutritional deficits.
Herpes simplex Doctor definition: Herpes simplex is a viral disease caused by Herpes simplex viruses. Patient definition: Herpes simplex is a viral disease caused by Herpes simplex viruses.
Ischemia Doctor definition: Ischemia is a restriction in blood supply, generally due to factors in the blood vessels, which result in damage or dysfunction of tissue. Patient definition: Ischemia is a restriction in blood supply, generally due to factors in the blood vessels, which result in damage or dysfunction of tissue.
Koilonychia Doctor definition: Koilonychia refers to nails (usually of the hand) which have lost their convexity, becoming flat or even concave in shape. Patient defintion: Koilonychia literally means spoon nails. It is when your nails become flat or sunken in.
Leukonychia Doctor definition: Leukonychia is a medical term for white discoloration appearing on nails. Patient defintion: Leukonychia is a medical term for white discoloration appearing on nails.
Lichen planus nail changes Doctor definition: Lichen planus is an inflammatory disease that affects the skin and the oral mucosa. Patient definition: Lichen planus is an inflammatory disease that affects the skin and the mouth.
Mee's lines Doctor definition: Mees' lines are lines of discoloration across the nails of the fingers and toes after an episode of poisoning with arsenic or thallium or other heavy metals. Patient definition: Mees' lines are lines of discoloration across the nails of the fingers and toes after an episode of poisoning with arsenic or thallium or other heavy metals.
Melanonychia Doctor definition: Melanonychia is a black or brown pigmentation of the normal nail plate that can present as horizontal or longitudinal bands. Patient definition: Melanonychia is a black or brown pigmentation of the normal nail plate that can present as horizontal or longitudinal bands.
Muehrcke's lines Doctor definition: Muehrcke's lines are white lines across the nail associated with hypoalbuminemia. Patient definition: Muehrcke's lines are white lines across the nail associated with low levels of the most abundant blood protein (albumin).
Onychia Doctor definition: Onychia is an inflammation of the matrix of the nail with formation of pus and shedding of the nail. Patient definition: Onychia is an inflammation of the surrounding tissue (matrix) of the nail with formation of pus and shedding of the nail.
Onychocryptosis Doctor definition: Onychocryptosis is a painful condition in which the nail grows or cuts into one or both sides of the nail bed. Patient defintion: Onychocryptosis is a painful condition in which the nail grows or cuts into one or both sides of the nail bed.
Onychodystrophy Doctor definition: Onychodystrophy is a deformation of the nails that can result from cancer chemotherapy which includes bleomycin, hydroxyurea, or 5-fluorouracil. Patient definition: Onychodystrophy is a deformation of the nails that can result from certain cancer drugs (bleomycin, hydroxyurea, or 5-fluorouracil).
Onychogryphosis Doctor definition: Onychogryposis, also called ""ram's-horn nail"", is a thickening and increase in curvature of the nail. Patient definition: Onychogryposis, also called ""ram's-horn nail"", is a thickening and increase in curvature of the nail.
Onycholysis Doctor definition: Onycholysis is a loosening of the exposed portion of the nail from the nail bed, usually beginning at the free edge and continuing to the lunula. Patient definition: Onycholysis is a loosening of the exposed portion of the nail from the nail bed, usually beginning at the free edge and continuing to the crescent-shaped whitish area of the bed of a fingernail or toenail.
Onychomadesis Doctor definition: Onychomadesis is a periodic idiopathic shedding of the nails beginning at its proximal end. Patient definition: Onychomadesis is a periodic, spontaneous shedding of the nails beginning at the end closer to the finger.
Onychomycosis Doctor definition: Onychomycosis is a fungal infection of the nails. Patient definition: Onychomycosis is a fungal infection of the nails.
Onychophosis Doctor definition: Onychophosis is a localized or diffuse hyperkeratotic tissue that develops on the lateral or proximal nailfolds, within the space between the nailfolds and the nail plate. Patient definition: Onychophosis is a localized or diffuse excess of the nail proteins that develops on the side of the nail closer to the finger. This forms specifically in the space between the nail folds and nail plate.
Onychoptosis Doctor definition: Onychoptosis is the periodic shedding of the nails. Patient definition: Onychoptosis is the periodic shedding of the nails.
Pachyonychia Doctor definition: Pachyonychia is an autosomal dominant skin disorder. Patient definition: Pachyonychia is a skin disorder that is expressed when the specific gene is present.
Paronychia Doctor defintion: Paronychia is an often tender bacterial or fungal infection where the nail and skin meet at the side or the base of a finger or toenail. Patient definition: Paronychia is an often tender infection where the nail and skin meet at the side or the base of a finger or toenail.
Pitted nails Doctor definition: Pitted nails are pinpoint depressions in the nails. Patient definition: Pitted nails are pinpoint depressions in the nails.
Platonychia Doctor definition: Platonychia is characterized by an abnormally flat and broad nail. Patient definition: Platonychia is characterized by an abnormally flat and broad nail.
Psoriatic nails Doctor definition: Psoriatic nails is a common nail disease associated with people who have psoriasis. Patient definition: Psoriatic nails is a common nail disease associated with people who have a scaly skin rash (psoriasis).
Scleroderma Doctor definition: Scleroderma is a rare, chronic disease characterized by excessive deposits of collagen in the skin or other organs. Patient definition: Scleroderma is a rare, long lasting disease characterized by excessive deposits of a structural protein in the skin or other organs.
Skin cancer Doctor definition: Skin cancer is a malignant growth on the skin which can have many causes. Patient definition: Skin cancer is invasive, spreading cancer on the skin which can have many causes.
Splinter hemorrhage Doctor defintion: Splinter hemorrhages are tiny lines that run vertically under the nails. Patient definition: Splinter hemorrhages are tiny lines that run vertically under the nails.
Subungual hematoma Doctor definition: A subungal hematoma is a hematoma underneath a toenail or fingernail which often results from a traumatic injury such as slamming a finger in a door. Patient definition: A subungal hematoma is a collection of blood underneath a toenail or fingernail which often results from a traumatic injury such as slamming a finger in a door.
Terry's nails Doctor definition: Terry's nails is a physical finding in which fingernails and/or toenails appear white with a characteristic ""ground glass"" appearance, with no lunula. Patient definition: Terry's nails is a physical finding in which fingernails and/or toenails appear white with a characteristic ""ground glass"" appearance, with no white crescent shaped area at the bottom of the nail.
Trauma Doctor definition: Trauma refers to a physical injury. Patient definition: Trauma refers to a physical injury.
Tuberous sclerosis Doctor definition: Tuberous sclerosis is a rare, multi-system genetic disease that causes benign tumors to grow in the brain and on other vital organs such as the kidneys, heart, eyes, lungs, and skin. Patient definition: Tuberous sclerosis is a rare, multi-system genetic disease that causes benign tumors to grow in the brain and on other vital organs such as the kidneys, heart, eyes, lungs, and skin.
Wart Doctor definition: A wart is generally a small, rough tumor, typically on hands and feet, that can resemble a cauliflower or a solid blister. Patient definition: A wart is generally a small, rough tumor, typically on hands and feet, that can resemble a cauliflower or a solid blister.
Yellow nail syndrome Doctor definition: Yellow nail syndrome is characterized by yellow nails that lack a cuticle, grow slowly, and are loose or detached (onycholysis). Patient definition: Yellow nail syndrome is characterized by yellow nails that lack a cuticle, grow slowly, and are loose or detached (onycholysis).


v t e Diseases of the skin and subcutaneous tissue (integumentary system) (L, 680-709) Infections Template:Navbox subgroup Bullous disorders acantholysis (Pemphigus, Transient acantholytic dermatosis) · Pemphigoid (Bullous, Cicatricial, Gestational) · Dermatitis herpetiformis Inflammatory Template:Navbox subgroup Radiation -related disorders Sunburn · actinic rays (Actinic keratosis, Actinic cheilitis) · Polymorphous light eruption (Acne aestivalis) · Radiodermatitis · Erythema ab igne Pigmentation disorder hypopigmentation (Albinism, Vitiligo) · hyperpigmentation (Melasma, Freckle, Café au lait spot, Lentigo / Liver spot, Acanthosis nigricans, Acral acanthotic anomaly) Other skin keratosis / hyperkeratosis (Seborrheic keratosis, Callus) · other epidermal thickening (Ichthyosis acquisita, Palmoplantar keratoderma) skin ulcer (Pyoderma gangrenosum, Bedsore) Cutaneous Markers of Internal Malignancy (Florid cutaneous papillomatosis, acanthosis nigricans, sign of Leser-Trelat) atrophic (Lichen sclerosus, Acrodermatitis chronica atrophicans) necrobiosis (Granuloma annulare, Necrobiosis lipoidica) · other granuloma (Granuloma faciale, Pyogenic granuloma) cutaneous vasculitis (Livedoid vasculitis, Erythema elevatum diutinum) Connective tissues collagen disease: Keloid localized connective tissue disorders: Lupus erythematosus (Discoid lupus erythematosus, Subacute cutaneous lupus erythematosus) · Scleroderma / Morphea · Linear scleroderma · Calcinosis cutis · Sclerodactyly · Ainhum see also congenital, neoplasia
Template:WikiDoc Sources",What are the possible changes that nails can undergo?,Answer this question truthfully
There are no MRI findings associated with Mallory-Weiss syndrome.,What is an MRI for Mallory-Weiss syndrome?,Answer this question truthfully
"Women with complete androgen insensitivity syndrome (CAIS) have decreased bone mineral density, regardless of timing of gonadectomy. However, women with partial androgen insensitivity syndrome (PAIS) who choose not to undergo gonadectomy do not appear to be at high risk for decreased bone mineral density. The following are advised: 
In addition to estrogen replacement therapy, supplemental calcium and vitamin D are recommended. Regular weight-bearing exercises are encouraged to maintain bone health. Bisphosphonate therapy may be indicated for those individuals with evidence of decreased bone mineral density and/or multiple fractures.",What is the secondary prevention method for Androgen Insensitivity Syndrome?,Answer this question truthfully
"The most common symptoms of alcohol withdrawal include loss of appetite, anorexia, craving for alcohol, nausea, vomiting, agitation, anxiety, irritability, hypervigilance, insomnia, vivid dreams, headache, diaphoresis, and tremor. The most severe symptoms in alcohol withdrawal include hallucinosis, seizures, and delirium tremens (DT).",What are the historical background and symptoms associated with alcohol withdrawal?,Answer this question truthfully
"If the diagnosis remains unclear after basic investigations, such as the patient's history and a physical examination, then more advanced investigations may reveal a diagnosis. These include:
Barium enema Bone scan Computed tomography of the abdomen and pelvis Endoscopy and colonoscopy (not used for diagnosing acute pain) Small bowel enema
In cases of ischemic acute abdomen, abdominal radiography will show many air-fluid levels, as well as widespread edema.",What are the imaging results for diagnosing abdominal pain?,Answer this question truthfully
"Patients with methemoglobinemia usually present with gray or bluish skin discoloraion. Physical examination of patients with methemoglobinemia is usually remarkable for headache, tachycardia, dyspnea and lightheadedness.",What is involved in a physical examination for methemoglobinemia?,Answer this question truthfully
The nonspecific ECG findings in Whipple's disease include:      ST segment depression Q waves changes T wave changes ECG abnormality in myocardial fibrosis is:  Peaked P wave in lead II QR pattern in lead V1 Dominant R wave in lead V1-V2 Atrial arrhythmias,What is the connection between Whipple's disease and the electrocardiogram?,Answer this question truthfully
"The presence of mutation of gene PBGD in association with exposure to the medication mentioned above and co-existence of mutation or deficiency in ALAS1 is known to precipitate AIP.
Starvation and decreased intake of carbohydrate rich food can also exacerbate or precipitate AIP frequently.",What does acute intermittent porphyria mean?,Answer this question truthfully
Severe and irreversible pulmonary artery hypertension Eisenmenger's syndrome.,What are the contraindications for surgery in patent ductus arteriosus?,Answer this question truthfully
"MALT lymphoma starts in the tissues or organs outside of the lymph nodes (extranodal). MALT lymphoma develops in mucosa-associated lymphoid tissue, in the mucosa, or tissue that lines body organs or body cavities including: 
Gastrointestinal tract (30-40%) The stomach is the most common location for MALT lymphoma, but they can also occur in the small bowel and colon. Lungs Eyes, including the orbit Skin Salivary glands Thyroid gland Breasts",What is the underlying medical condition and mechanisms behind lymphoma in MALT?,Answer this question truthfully
"Gynecologic ultrasonography or Gynecologic sonography refers to the application of medical sonography to the female pelvic organs, specifically the uterus, the ovaries, the Fallopian tubes, as well as the bladder,the adnexa, the Pouch of Douglas, and any findings in the pelvis of relevance outside of pregnancy.
The examination can be performed transabdominally, generally with a full bladder which acts as an acoustic window to achieve better visualization of pelvis organs, or trans vaginally with a specifically designed vaginal transducer. Transvaginal imaging utilizes a higher frequency imaging, which gives better resolution of the ovaries, uterus and endometrium (the fallopian tubes are generally not seen unless distended), but is limited to depth of image penetration. whereas larger lesions reaching into the abdomen are better seen transabdominally. Having a full bladder for the transabdominal portion of the exam is helpful because sound travels through fluid with less attenuation to better visualize the uterus and ovaries which lies posteriorly to the bladder. The procedure is regarded as not painful, noninvasive, and relatively safe as no radiation is used. Scans are performed by health care professionals call sonographers, or gynecologists trained in ultrasound.
Gynecologic sonography is used extensively:
to assess pelvic organs, to diagnose and manage gynecologic problems including endometriosis, leiomyoma, adenomyosis, ovarian cysts and lesions, to identify adnexal masses, including ectopic pregnancy, to diagnose gynecologic cancer in infertility treatments to track the response of ovarian follicles to fertility medication (i.e. Pergonal).
Through transvaginal sonography ovarian cysts can be aspirated. This technique is used to obtain human eggs (oocytes) through sonographic directed transvaginal puncture of ovarian follicles in IVF.
Sonohysterography is a specialiced procedure by which fluid, usually sterile saline, is installed into the uterine cavity, and gynecologic sonography performed at the same time. The procedure delineates intrauterine pathology such as polyps, Asherman's syndrome, or submucous leiomyoma.",Could you explain what gynecologic ultrasonography is?,Answer this question truthfully
"The development of the urinary and reproductive organs is a part of the prenatal development, and concerns the urinary system and sex organs. The latter is a part of the stages of sexual differentiation.
The urinary and reproductive organs are developed from the intermediate mesoderm. The permanent organs of the adult are preceded by a set of structures which are purely embryonic, and which with the exception of the ducts disappear almost entirely before the end of fetal life. These embryonic structures are on either side; the pronephros, the mesonephros and the metanephros of the kidney, and the Wolffian and Müllerian ducts of the sex organ. The pronephros disappears very early; the structural elements of the mesonephros mostly degenerate, but the gonad is developed in their place, with which the Wolffian duct remains as the duct in males, and the Müllerian as that of the female. Some of the tubules of the metanephros form part of the permanent kidney.",What is the process of developing the urinary and reproductive organs?,Answer this question truthfully
"It is critical to obtain a detailed and thorough sexual history from the patient. Specific areas of focus when obtaining a history from the patient include number and type of sexual partners, contraception use, and previous history of sexually transmitted diseases. The majority of women with gonorrhea are asymptomatic, while some have vaginal discharge, lower abdominal pain, or pain during intercourse. Common symptoms of gonococcal infection among men include urethritis, which is associated with burning with urination and discharge from the penis. Either sex may also acquire gonorrhea of the throat from performing oral sex on an infected partner, usually a male partner. Such infection is asymptomatic in 90% of cases, and produces a sore throat in the remaining 10%. The incubation period is 2 to 14 days, with most of these symptoms occurring between 4 and 6 days after infection.     Rarely, gonorrhea may cause skin lesions and joint infection (pain and swelling in the joints) after traveling through the blood stream. Very rarely, it may settle in the heart, causing endocarditis, or in the spinal column, causing meningitis. 
Women with gonococcal infection usually appear to be well until the development of such complications as PID. Physical examinations of women with gonococcal infection are usually remarkable for mucopurulent urethral, cervical, or vaginal discharge; friable appearance of the cervix; and cervical motion tenderness. Common physical examination finding of gonococcal infection in men include mucopurulent urethral discharge. Less commonly, penile edema and epididymal tenderness and edema (epididymitis) may also be seen as part of a complicated gonococcal infection.   
Physical examination of patients with pharyngeal gonococcal infection is usually remarkable for mild pharyngeal exudates and rectal gonococcal infection is usually remarkable for mucopurulent anal discharge. Physical examination of patients with disseminated gonococcal infection (DGI) is usually remarkable for fever, pustular or vesicular rash, and musculoskeletal findings.  
The following images are associated with gonorrhea physical examination.  
Penile discharge in a patient with gonorrhea - Source: https://www.std.gov/ Ophthalmia neonatorum - Source: https://www.cdc.gov/ Lesions of skin and arthritic knee joints due to Neisseria gonorrhea - Source: https://www.cdc.gov/
Empiric treatment for gonorrhea is usually initiated prior to the receipt of laboratory result. A microbiologic diagnosis is important for further management in order to determine the need for further testing, partner management, and public health considerations. Any sexually active man or women presenting with signs and symptoms of urethritis, cervicitis, pelvic inflammatory disease, and epididymitis should undergo diagnostic testing for Neisseria gonorrhea. Additionally, the possibility of disseminated gonococcal infection (DGI) should be considered in all young sexually active individuals who present with arthralgias or suspected septic arthritis. Common laboratory tests for gonococcal infection may include gram stain, culture, nucleic acid amplification tests (NAAT), and non-amplified tests. Nucleic acid amplification tests are the test of choice in all individuals who present with urogenital symptoms.   Additionally, synovial fluid analysis is usually sent for cell count, differential, gram stain, bacterial culture and NAAT in patients with suspected DGI. 
Other diagnostic studies are used when NAAT or culture are not available. Other diagnostic studies for gonorrhea infection include rapid NAAT assay (modular-cartridge based platform), leukocyte esterase urine test, immunochromatographic tests, nucleic acid hybridization tests, and enzyme immunoassay (EIA).",Can you provide an overview of gonorrhea?,Answer this question truthfully
Alcoholism Hypocalcemia Hypokalemia  Hypomagnesemia Pericardial effusion,What does wave alternans mean?,Answer this question truthfully
"The clinical course of the illness is divided into three stages: catarrhal, paroxysmal and convalescent. Pertussis has an insidious onset with catarrhal symptoms that are indistinguishable from those of minor respiratory tract infections. The cough, which is initially intermittent, becomes paroxysmal. In typical cases paroxysms terminate with inspiratory whoop and may be followed by post-tussive vomiting. Paroxysms of cough, which may occur more at night, usually increase in frequency and severity as the illness progresses and typically persist for 2 to 6 weeks or more. The illness can be milder and the characteristic ""whoop"" may be absent in children, adolescents and adults who were previously vaccinated. After paroxysms subside, a nonparoxysmal cough can continue for 2 to 6 weeks or longer. Unvaccinated or incompletely vaccinated infants younger than 12 months of age have the highest risk for developing severe infection and life-threatening complications and death.
Shown below is a table summarizing the main clinical findings in each stage. 
Natural History of Pertussis Stage Duration Key features Catarrhal Usually 7-10 days; range of 4-21 - Low grade fever - Coryza - Mild occasional cough Paroxysmal Usually lasts 1-6 weeks, but may persist for up to 10 weeks - Paroxysms of numerous, rapid coughs due to difficulty expelling thick mucus from the tracheobronchial tree - Long aspiratory effort accompanied by a high-pitched ""whoop"" at the end of the paroxysms - Cyanosis - Vomiting and exhaustion - Paroxysmal attacks occur frequently at night, with an average of 15 attacks per 24 hours - Paroxysmal attacks increase in frequency during the first 1-2 weeks, remain at the same frequency for 2-3 weeks, and then gradually decrease Convalescent Usually 7-10 days; range of 4-21 - Gradual recovery - Less persistent, paroxysmal coughs that disappear in 2-3 weeks - Paroxysms often recur with subsequent respiratory infections for many months after the onset of pertussis
Timeline of pertussis clinical manifestations. Retrieved from Centers of Disease Control and Prevention (CDC)","What are the natural course, possible complications, and expected outcome of pertussis?",Answer this question truthfully
